"filename", "language", "Python", "JSON Lines", "JSON", "Markdown", "Ini", "JSON with Comments", "pip requirements", "comment", "blank", "total"
"c:\Dev\Starship Battles\.agent\workflows\modify_codebase.md", "Markdown", 0, 0, 0, -51, 0, 0, 0, 0, -15, -66
"c:\Dev\Starship Battles\.agent\workflows\resolve_bug.md", "Markdown", 0, 0, 0, -26, 0, 0, 0, 0, -5, -31
"c:\Dev\Starship Battles\.agent\workflows\run-tests.md", "Markdown", 0, 0, 0, -21, 0, 0, 0, 0, -8, -29
"c:\Dev\Starship Battles\.claude\settings.json", "JSON with Comments", 0, 0, 0, 0, 0, -7, 0, 0, -1, -8
"c:\Dev\Starship Battles\.claude\settings.local.json", "JSON", 0, 0, -41, 0, 0, 0, 0, 0, -1, -42
"c:\Dev\Starship Battles\Debugging\active_bugs\BUG-46.md", "Markdown", 0, 0, 0, -38, 0, 0, 0, 0, -10, -48
"c:\Dev\Starship Battles\Debugging\active_bugs\BUG-49.md", "Markdown", 0, 0, 0, -18, 0, 0, 0, 0, -6, -24
"c:\Dev\Starship Battles\Debugging\active_bugs\BUG-50.md", "Markdown", 0, 0, 0, -15, 0, 0, 0, 0, -6, -21
"c:\Dev\Starship Battles\Debugging\active_bugs\BUG-52.md", "Markdown", 0, 0, 0, -15, 0, 0, 0, 0, -5, -20
"c:\Dev\Starship Battles\Debugging\active_bugs\BUG-53.md", "Markdown", 0, 0, 0, -15, 0, 0, 0, 0, -6, -21
"c:\Dev\Starship Battles\Debugging\active_bugs\BUG-54.md", "Markdown", 0, 0, 0, -19, 0, 0, 0, 0, -5, -24
"c:\Dev\Starship Battles\Debugging\active_bugs\BUG-55.md", "Markdown", 0, 0, 0, -17, 0, 0, 0, 0, -5, -22
"c:\Dev\Starship Battles\Debugging\archive_confirmed.py", "Python", -129, 0, 0, 0, 0, 0, 0, -14, -46, -189
