TestFilePath,Verdict,Reason,SUT_Path
tests/unit/refactor/test_ability_introspection.py,REVIEW,Tests active code (Ability),game/simulation/components/abilities/base.py
tests/unit/refactor/test_ability_stat_binding.py,REVIEW,Tests active code (AbilityStatBinding),game/simulation/components/abilities/stat_keys.py
tests/unit/refactor/test_beam_weapon_bindings.py,REVIEW,Tests active code (BeamWeaponAbility),game/simulation/components/abilities/weapons.py
tests/unit/refactor/test_crew_required_mass_scaling.py,REVIEW,Tests active code (CrewRequired),game/simulation/components/abilities/crew.py
tests/unit/refactor/test_crew_resource_bindings.py,REVIEW,Tests active code (Crew/Resource abilities),game/simulation/components/abilities/crew.py
tests/unit/refactor/test_defense_marker_bindings.py,REVIEW,Tests active code (Defense abilities),game/simulation/components/abilities/defense.py
tests/unit/refactor/test_formula_edge_cases.py,REVIEW,Tests active code (ModifierEffectEvaluator),game/simulation/components/modifier_effects.py
tests/unit/refactor/test_formula_error_handling.py,REVIEW,Tests active code (ModifierEffectEvaluator),game/simulation/components/modifier_effects.py
tests/unit/refactor/test_formula_validation.py,REVIEW,Tests active code (ModifierEffectEvaluator),game/simulation/components/modifier_effects.py
tests/unit/refactor/test_invalid_operation_handling.py,REVIEW,Tests active code (Modifier schema/validation),game/simulation/components/modifiers.py
tests/unit/refactor/test_modifier_effect.py,REVIEW,Tests active code (ModifierEffect),game/simulation/components/modifier_effects.py
tests/unit/refactor/test_modifier_effect_evaluator.py,REVIEW,Tests active code (ModifierEffectEvaluator),game/simulation/components/modifier_effects.py
tests/unit/refactor/test_modifier_introspection.py,DELETE,Tests dead code (ModifierIntrospection),game/simulation/components/modifier_introspection.py
tests/unit/refactor/test_modifier_json_schema.py,REVIEW,Tests active code (Modifier schema V2),game/simulation/components/modifier_schema.py
tests/unit/refactor/test_modifier_loader_v2.py,REVIEW,Tests active code (Modifier V2 loading),game/simulation/components/component_constants.py
tests/unit/refactor/test_multi_ability_effects.py,REVIEW,Tests active code (Multi-ability targeting),game/simulation/components/modifier_effects.py
tests/unit/refactor/test_pipeline_unification.py,REVIEW,Tests active code (Stat pipeline),game/simulation/components/component.py
tests/unit/refactor/test_projectile_weapon_bindings.py,REVIEW,Tests active code (ProjectileWeaponAbility),game/simulation/components/abilities/weapons.py
tests/unit/refactor/test_propulsion_ability_bindings.py,REVIEW,Tests active code (Propulsion abilities),game/simulation/components/abilities/propulsion.py
tests/unit/refactor/test_seeker_multi_ability.py,REVIEW,Tests active code (Seeker multi-ability),game/simulation/components/abilities/weapons.py
tests/unit/refactor/test_seeker_weapon_bindings.py,REVIEW,Tests active code (SeekerWeaponAbility),game/simulation/components/abilities/weapons.py
tests/unit/refactor/test_stat_key.py,REVIEW,Tests active code (StatKey),game/simulation/components/abilities/stat_keys.py
tests/unit/refactor/test_weapon_ability_bindings.py,REVIEW,Tests active code (WeaponAbility),game/simulation/components/abilities/weapons.py
