TestFilePath,Verdict,Reason,SUT_Path
tests\unit\test_advanced_fleet_orders.py,REVIEW,Manual review required,game\strategy\data\fleet.py;game\core\hex_math.py;game\strategy\data\pathfinding.py;game\strategy\data\empire.py;game\strategy\data\ship_instance.py;game\strategy\engine\turn_engine.py
tests\unit\test_app_integration.py,REVIEW,Manual review required,game\strategy\systems\save_game_service.py;game\app.py;game\strategy\engine\game_session.py;game\strategy\engine\game_config.py
tests\unit\test_builder_refactor.py,REVIEW,Manual review required,game\ui\services\ship_io.py;game\ui\screens\planet_list_presets.py;game\ui\screens\workshop_screen.py
tests\unit\test_fleet_orders_logic.py,REVIEW,Manual review required,game\strategy\data\fleet.py
tests\unit\test_modifier_logic.py,REVIEW,No SUT identified,Unknown
tests\unit\test_screenshot_manager.py,REVIEW,Manual review required,game\ui\services\screenshot_manager.py;game\core\registry.py
tests\unit\test_targeting_rules.py,REVIEW,Manual review required,game\ai\interfaces\controllable.py;game\ai\target_evaluator.py;game\core\constants.py;game\ai\controller.py
tests\unit\abilities\test_ability_layer_scope.py,REVIEW,Manual review required,game\simulation\components\abilities\base.py
tests\unit\abilities\test_colonize_planet.py,DELETE,Tests dead code: game\simulation\components\abilities\colonize.py;game\simulation\components\abilities\base.py;game\simulation\components\__init__.py,game\simulation\components\abilities\colonize.py;game\simulation\components\abilities\base.py;game\simulation\components\__init__.py
tests\unit\abilities\test_strategic_movement.py,REVIEW,Manual review required,game\simulation\components\abilities\base.py;game\simulation\components\abilities\propulsion.py;game\simulation\components\abilities\__init__.py
tests\unit\abilities\test_warp_jump.py,REVIEW,Manual review required,game\simulation\components\abilities\base.py;game\simulation\components\abilities\propulsion.py;game\simulation\components\abilities\__init__.py
tests\unit\ai\test_advanced_behaviors.py,REVIEW,Manual review required,game\ai\interfaces\controllable.py;game\ai\behaviors.py;game\ai\controller.py
tests\unit\ai\test_ai.py,REVIEW,Manual review required,game\ai\interfaces\controllable.py;game\simulation\entities\ship_loader.py;game\ai\strategy_manager.py;game\engine\spatial.py;game\core\registry.py;game\ai\controller.py;game\simulation\components\component.py;game\simulation\entities\ship.py
tests\unit\ai\test_ai_behaviors.py,REVIEW,Manual review required,game\ai\behaviors.py
tests\unit\ai\test_ai_capabilities_cache.py,REVIEW,Manual review required,game\ai\target_evaluator.py;game\engine\spatial.py;game\ai\controller.py
tests\unit\ai\test_ai_controller_interface.py,REVIEW,Manual review required,game\ai\interfaces\controllable.py;game\core\config.py;game\ai\controller.py
tests\unit\ai\test_ai_controller_unit.py,REVIEW,Manual review required,game\core\math.py;game\core\config.py;game\ai\controller.py
tests\unit\ai\test_behavior_units.py,REVIEW,Manual review required,game\core\math.py;game\ai\behaviors.py;game\core\config.py
tests\unit\ai\test_controllable_adapter.py,REVIEW,Manual review required,game\ai\interfaces\controllable.py
tests\unit\ai\test_movement_and_ai.py,REVIEW,Manual review required,game\ai\interfaces\controllable.py;game\simulation\entities\ship_loader.py;game\ai\strategy_manager.py;game\ui\screens\battle_screen.py;game\core\constants.py;game\core\registry.py;game\ai\controller.py;game\simulation\components\component.py;game\simulation\entities\ship.py
tests\unit\ai\test_strategy_manager_singleton.py,REVIEW,Manual review required,game\ai\strategy_manager.py
tests\unit\ai\test_strategy_system.py,REVIEW,Manual review required,game\ai\target_evaluator.py;game\ai\strategy_manager.py
tests\unit\ai\test_target_evaluator_edge_cases.py,REVIEW,Manual review required,game\ai\target_evaluator.py;game\core\math.py
tests\unit\ai\controllable_interface\test_adapter_basics.py,REVIEW,Manual review required,game\ai\interfaces\controllable.py
tests\unit\ai\controllable_interface\test_adapter_methods.py,REVIEW,Manual review required,game\ai\interfaces\controllable.py
tests\unit\ai\controllable_interface\test_interface_definition.py,REVIEW,Manual review required,game\ai\interfaces\controllable.py
tests\unit\ai\formation_prediction\test_formation_behavior.py,REVIEW,Manual review required,game\ai\interfaces\controllable.py;game\ai\controller.py
tests\unit\ai\formation_prediction\test_other_behaviors.py,REVIEW,Manual review required,game\ai\behaviors.py
tests\unit\ai\target_evaluator\test_capabilities_cache.py,REVIEW,Manual review required,game\ai\target_evaluator.py
tests\unit\ai\target_evaluator\test_evaluation_integration.py,REVIEW,Manual review required,game\ai\target_evaluator.py;game\core\constants.py;game\ai\combat_utils.py
tests\unit\ai\target_evaluator\test_evaluation_rules.py,REVIEW,Manual review required,game\ai\target_evaluator.py;game\core\constants.py
tests\unit\assets\test_asset_manager_resolutions.py,REVIEW,Manual review required,game\assets\asset_manager.py;game\core\paths.py
tests\unit\builder\test_builder_data_loader.py,REVIEW,Manual review required,game\core\json_utils.py;game\core\registry.py;game\ui\screens\workshop_data_loader.py
tests\unit\builder\test_builder_drag_drop_real.py,DELETE,Tests dead code: game\ui\screens\__init__.py,game\ui\screens\__init__.py
tests\unit\builder\test_builder_improvements.py,REVIEW,Manual review required,game\ui\screens\workshop_context.py;game\ui\screens\workshop_screen.py;game\simulation\entities\ship.py
tests\unit\builder\test_builder_interaction.py,REVIEW,Manual review required,game\ui\screens\builder\drop_target.py;game\ui\screens\builder\interaction_controller.py
tests\unit\builder\test_builder_io_integration.py,REVIEW,Manual review required,game\ui\screens\workshop_ship_io.py;game\ui\screens\workshop_context.py
tests\unit\builder\test_builder_logic.py,REVIEW,Manual review required,game\simulation\entities\ship_loader.py;game\simulation\entities\layer_data.py;game\core\registry.py;game\simulation\components\component.py;game\simulation\entities\ship.py
tests\unit\builder\test_builder_structure_features.py,REVIEW,Manual review required,game\simulation\entities\layer_data.py;game\ui\screens\builder\panel_layout_config.py;game\ui\screens\builder\structure_list_items.py;game\ui\screens\workshop_context.py;game\simulation\components\component_constants.py;game\ui\screens\workshop_screen.py;game\simulation\components\component.py;game\simulation\entities\ship.py
tests\unit\builder\test_builder_ui_sync.py,REVIEW,Manual review required,game\ai\strategy_manager.py;game\ui\screens\builder\right_panel.py;game\core\strategy_metadata.py;game\core\registry.py;game\simulation\entities\ship.py
