2025-12-22 23:40:15,404 - INFO - Loaded 12 combat strategies
2025-12-22 23:40:19,870 - INFO - Loaded 4 ship themes: ['Atlantians', 'Federation', 'Klingons', 'Romulans']
2025-12-22 23:40:24,273 - INFO - Loaded 4 ship themes: ['Atlantians', 'Federation', 'Klingons', 'Romulans']
2025-12-22 23:40:28,680 - INFO - Loaded 4 ship themes: ['Atlantians', 'Federation', 'Klingons', 'Romulans']
2025-12-22 23:40:29,563 - DEBUG - Test debug message
2025-12-22 23:40:29,563 - ERROR - Test error message
2025-12-22 23:40:29,563 - INFO - Test info message
2025-12-22 23:40:33,696 - INFO - Loaded 4 ship themes: ['Atlantians', 'Federation', 'Klingons', 'Romulans']
2025-12-22 23:40:34,458 - DEBUG - Projectile <projectiles.Projectile object at 0x00000241C1F03AF0> destroyed by point defense!
2025-12-22 23:40:34,458 - DEBUG - Projectile <projectiles.Projectile object at 0x00000241C1F03AF0> destroyed by point defense!
2025-12-22 23:40:35,054 - ERROR - Failed to load image C:\Dev\Starship Battles\resources\ShipThemes\Atlantians\Escort.png: No convert format has been set, try display.set_mode() or Window.get_surface().
2025-12-22 23:40:35,087 - ERROR - Failed to load image C:\Dev\Starship Battles\resources\ShipThemes\Atlantians\Frigate.png: No convert format has been set, try display.set_mode() or Window.get_surface().
2025-12-22 23:40:35,121 - ERROR - Failed to load image C:\Dev\Starship Battles\resources\ShipThemes\Atlantians\Destroyer.png: No convert format has been set, try display.set_mode() or Window.get_surface().
2025-12-22 23:40:35,158 - ERROR - Failed to load image C:\Dev\Starship Battles\resources\ShipThemes\Atlantians\light cruiser.png: No convert format has been set, try display.set_mode() or Window.get_surface().
2025-12-22 23:40:35,195 - ERROR - Failed to load image C:\Dev\Starship Battles\resources\ShipThemes\Atlantians\Cruiser.png: No convert format has been set, try display.set_mode() or Window.get_surface().
2025-12-22 23:40:35,236 - ERROR - Failed to load image C:\Dev\Starship Battles\resources\ShipThemes\Atlantians\heavey cruiser.png: No convert format has been set, try display.set_mode() or Window.get_surface().
2025-12-22 23:40:35,272 - ERROR - Failed to load image C:\Dev\Starship Battles\resources\ShipThemes\Atlantians\Battlecruiser.png: No convert format has been set, try display.set_mode() or Window.get_surface().
2025-12-22 23:40:35,312 - ERROR - Failed to load image C:\Dev\Starship Battles\resources\ShipThemes\Atlantians\Battleship.png: No convert format has been set, try display.set_mode() or Window.get_surface().
2025-12-22 23:40:35,357 - ERROR - Failed to load image C:\Dev\Starship Battles\resources\ShipThemes\Atlantians\Dreadnaught.png: No convert format has been set, try display.set_mode() or Window.get_surface().
2025-12-22 23:40:35,400 - ERROR - Failed to load image C:\Dev\Starship Battles\resources\ShipThemes\Atlantians\super dreadnaught.png: No convert format has been set, try display.set_mode() or Window.get_surface().
