=== BATTLE LOG STARTED ===
Battle started: 1 vs 3 ships
Missile fired at <ship.Ship object at 0x000001A705A83850>
Missile fired at <ship.Ship object at 0x000001A705A83850>
Missile fired at <ship.Ship object at 0x000001A705A83850>
Missile fired at <ship.Ship object at 0x000001A705A83850>
Missile fired at <ship.Ship object at 0x000001A705A83850>
Missile fired at <ship.Ship object at 0x000001A705A83850>
Missile fired at <ship.Ship object at 0x000001A705A83850>
Missile fired at <ship.Ship object at 0x000001A705A83850>
Missile fired at <ship.Ship object at 0x000001A705A83850>
Missile fired at <ship.Ship object at 0x000001A705A83850>
Missile fired at <ship.Ship object at 0x000001A705A83850>
Missile fired at <ship.Ship object at 0x000001A705A83850>
Missile fired at <ship.Ship object at 0x000001A705A83850>
Missile fired at <ship.Ship object at 0x000001A705A83850>
Missile fired at <ship.Ship object at 0x000001A705A83850>
Missile fired at <ship.Ship object at 0x000001A705A83850>
Missile fired at <ship.Ship object at 0x000001A705A67CD0>
Missile fired at <ship.Ship object at 0x000001A705A67CD0>
Missile fired at <ship.Ship object at 0x000001A705A67CD0>
Missile fired at <ship.Ship object at 0x000001A705A67CD0>
Missile fired at <ship.Ship object at 0x000001A705A67CD0>
Missile fired at <ship.Ship object at 0x000001A705A67CD0>
Missile fired at <ship.Ship object at 0x000001A705A67CD0>
Missile fired at <ship.Ship object at 0x000001A705A67CD0>
Missile fired at <ship.Ship object at 0x000001A705A67CD0>
Missile fired at <ship.Ship object at 0x000001A705A67CD0>
Missile fired at <ship.Ship object at 0x000001A705A67CD0>
Missile fired at <ship.Ship object at 0x000001A705A67CD0>
Missile fired at <ship.Ship object at 0x000001A705A67CD0>
Missile fired at <ship.Ship object at 0x000001A705A67CD0>
Missile fired at <ship.Ship object at 0x000001A705A67CD0>
Missile fired at <ship.Ship object at 0x000001A705A67CD0>
